Location,Timestamp,mq135_raw,soil_moisture,soil_temperature,speed,light_intensity_lux,sound_level,rain_detected,estimated_ppm,temperature,humidity,pressure,altitude,uv_index
19.0890_72.8690,1752069241.5256598,459,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069247.724833,455,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069253.9692864,350,0.0,28.4,0.5,720,0,0,320,26.9,74.0,1013.25,14.3,15.0
19.0890_72.8690,1752069260.4062538,465,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069266.6671743,464,0.0,28.4,0.5,720,0,0,320,26.9,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752069273.0163496,462,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069279.33113,461,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069285.71407,462,0.0,28.4,0.5,720,0,0,320,26.9,74.0,1013.25,14.3,15.0
19.0890_72.8690,1752069299.5884607,464,0.0,28.4,0.5,720,0,0,320,26.9,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752069305.9310594,511,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069312.1345277,464,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069318.3849854,465,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069324.6246586,451,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069331.0753253,463,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,1.0
19.0890_72.8690,1752069337.226101,455,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069343.547822,464,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069349.7200487,453,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069356.2661438,460,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069362.4210007,453,0.0,28.4,0.5,720,0,0,320,26.9,73.0,1013.25,14.3,12.0
19.0890_72.8690,1752069368.821015,457,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069375.5223777,463,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069381.8665547,459,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069388.350378,464,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069394.527511,469,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069400.9208674,459,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069407.2452545,458,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069413.50981,460,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,6.0
19.0890_72.8690,1752069419.7661076,467,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069426.1395578,449,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069432.5539713,441,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
